cation	cation_valence	anion	anion_valence	Nc	R0	Rcutoff	D0	Rmin	alpha
Pr	3	F	-1	9.067	1.91752	5.5	0.900775	2.268753	2.232143
Nd	3	F	-1	8.647	1.91099	5.5	0.870992	2.232524	2.28833
Ti	3	F	-1	6	1.6318	5.5	1.493295	1.829107	2.136752
Cr	4	F	-1	5.429	1.64899	5	1.516679	1.658904	2.392344
Fe	2	F	-1	5.743	1.50766	5.5	1.280077	1.902081	2.04499
Ni	4	F	-1	6	1.61746	5.5	1.45655	1.670016	2.43309
Cu	3	F	-1	4	1.54272	5.5	1.531932	1.554592	2.28833
Nb	4	F	-1	6	1.75844	6	1.995819	1.840216	1.872659
Ru	5	F	-1	6	1.77634	5.5	1.653541	1.724517	2.247191
Rh	3	F	-1	6	1.63692	5.5	1.440772	1.843667	2.04918
Pd	4	F	-1	5.333	1.68582	5.5	1.59323	1.688346	2.188184
Ag	3	F	-1	6.25	1.71485	5.5	1.189009	1.916593	2.212389
Pt	5	F	-1	6	1.78573	5.5	1.362673	1.734251	2.358491
Hg	1	F	-1	4.786	1.76507	5.5	0.547747	2.401203	2.114165
V	3	F	-1	6	1.61581	5.5	1.386802	1.804823	2.232143
Cr	3	F	-1	6	1.58975	5.5	1.347343	1.775673	2.283105
Co	2	F	-1	5.506	1.51442	5.5	1.155873	1.86403	2.173913
Ni	3	F	-1	6	1.56869	5	1.275911	1.748854	2.364066
Ag	2	F	-1	5	1.6378	5.5	1.195671	1.973406	1.964637
Ta	3	F	-1	6	1.52314	6	1.747189	1.79512	1.801802
Pt	4	F	-1	6	1.69132	5.5	1.597082	1.753192	2.04918
V	2	F	-1	6	1.53303	5.5	1.232616	1.943136	2.061856
Cr	2	F	-1	5.6	1.54102	5.5	1.26782	1.920471	2.04499
Mn	4	F	-1	5.923	1.61606	5	1.45541	1.663202	2.439024
Mo	3	F	-1	5.7	1.73819	5.5	1.078285	1.886081	2.34192
Os	5	F	-1	6	1.75815	6	1.83525	1.705754	2.04918
Mn	3	F	-1	5.862	1.59633	5.5	1.397213	1.775416	2.242152
Mn	2	F	-1	5.91	1.56491	5.5	1.16586	1.962266	2.109705
Ce	3	F	-1	9.147	1.92656	5.5	0.932803	2.289753	2.183406
Sm	3	F	-1	8.119	1.88844	5.5	0.905474	2.187001	2.267574
Eu	3	F	-1	7.743	1.87763	5.5	0.92616	2.15759	2.257336
Gd	3	F	-1	8.052	1.90718	5.5	0.770786	2.177537	2.463054
Tb	3	F	-1	7.958	1.83798	5.5	0.932919	2.132299	2.262443
#Dy	3	F	-1	7.828	1.85	5.5	1.485846	1.296738	-2.298851
Ho	3	F	-1	7.5	1.84485	5.5	0.871595	2.100218	2.358491
Er	3	F	-1	7.135	1.84663	5.5	0.868164	2.078788	2.375297
Tm	3	F	-1	6.912	1.81795	5.5	0.920982	2.044246	2.325581
Yb	3	F	-1	6.875	1.80974	5.5	0.945748	2.037278	2.298851
Eu	2	F	-1	10.111	1.8142	5.5	0.847162	2.482968	1.988072
Th	4	F	-1	8.941	2.40121	7	1.270178	2.697147	1.782531
Li	1	Cl	-1	5.258	1.39892	7	0.49302 	2.39647 	1.577287
A	1	Cl	-1	5.258	1.39892	7	0.49302 	2.39647 	1.577287
Be	2	Cl	-1	4	1.52729	6.5	1.323436	1.9291	1.517451
#B	3	Cl	-1	3.417	1.675	6	2.579816	1.529824	-1.494768
Na	1	Cl	-1	6.52	1.69489	6.5	0.315458	2.748011	1.663894
Mg	2	Cl	-1	5.897	1.78276	6.5	0.796023	2.393298	1.587302
Al	3	Cl	-1	5.327	1.89795	6.5	1.367335	2.197469	1.547988
P	5	Cl	-1	4	2.01093	7	2.935183	1.791686	1.510574
K	1	Cl	-1	8.846	2.07673	6.5	0.201068	3.184081	1.801802
Ca	2	Cl	-1	7.544	2.06262	6.5	0.53146	2.759777	1.683502
Ga	3	Cl	-1	4.905	1.97794	6.5	0.959766	2.170468	1.730104
Ge	4	Cl	-1	4.305	2.07619	6	1.521374	2.033413	1.639344
Rb	1	Cl	-1	10.02	2.26585	6.5	0.155502	3.370857	1.883239
Sr	2	Cl	-1	9.4	2.20197	6.5	0.408921	2.985294	1.745201
In	3	Cl	-1	6.024	2.13474	6.5	0.695073	2.409564	1.824818
Sn	4	Cl	-1	6.069	2.17643	6.5	1.106595	2.32334	1.70068
Sb	5	Cl	-1	6	2.2232	6.5	1.572233	2.243372	1.623377
Cs	1	Cl	-1	11.79	2.46037	6.5	0.119331	3.555351	2
Ba	2	Cl	-1	10.32	2.41041	6.5	0.290875	3.143075	1.926782
Tl	3	Cl	-1	5.22	2.22567	6	0.56302	2.389021	1.945525
S	4	Cl	-1	3	2.05269	6.5	1.591239	1.791962	1.834862
Ga	1	Cl	-1	4.905	2.3204	6	0.14014	2.871349	2.272727
As	3	Cl	-1	3	2.06175	6	0.870752	1.951235	1.915709
Se	4	Cl	-1	3	2.15849	6.5	1.304935	1.89237	1.834862
In	1	Cl	-1	6.024	2.43863	6	0.105153	3.015535	2.421308
Sb	3	Cl	-1	6	2.30831	6	0.544277	2.520874	2.016129
Te	4	Cl	-1	3.396	2.30563	6.5	0.951857	2.09621	1.930502
Tl	1	Cl	-1	8.03	2.36792	6	0.126355	3.237936	2.03666
Pb	2	Cl	-1	7.541	2.34641	5.5	0.268937	2.83552	2.109705
Bi	3	Cl	-1	6.058	2.34105	6	0.50612	2.565353	1.980198
Sc	3	Cl	-1	6.255	2.1133	6.5	1.541393	2.474212	1.633987
Ti	4	Cl	-1	6	2.12577	6	1.346432	2.244649	1.972387
#Cr	6	Cl	-1	4	2.007	6.5	2.648568	2.185395	-1.577287
Fe	3	Cl	-1	5.733	1.98266	6	1.322259	2.228926	1.858736
Ni	2	Cl	-1	5.933	1.87666	5.5	0.825239	2.282632	2.10084
Cu	2	Cl	-1	2.56	1.90175	5.5	0.964976	1.903186	2.12766
Zn	2	Cl	-1	4.718	1.88195	6	1.012812	2.228172	1.919386
Y	3	Cl	-1	7.285	2.28867	6.5	0.812042	2.616424	2.070393
Zr	4	Cl	-1	6.765	2.18437	6.5	1.61247	2.41089	1.644737
Nb	5	Cl	-1	6.044	2.20986	6.5	1.996217	2.234964	1.623377
#Mo	6	Cl	-1	4.764	2.0888	6.5	2.320539	2.147333	-1.607717
Pd	2	Cl	-1	4	1.99818	5	0.61099	2.157132	2.375297
Ag	1	Cl	-1	4.438	1.98819	5	0.387504	2.497296	2.331002
Cd	2	Cl	-1	6.176	2.0695	6	0.769487	2.533294	1.953125
Lu	3	Cl	-1	6.83	2.284	6	0.617863	2.522817	2.309469
Hf	4	Cl	-1	7.105	2.2444	6.5	0.924292	2.423017	2.070393
Ta	5	Cl	-1	6.09	2.21442	6.5	1.749379	2.23829	1.655629
W	6	Cl	-1	5.688	2.21497	7	2.141315	2.09029	1.620746
Pt	2	Cl	-1	4	1.97699	5.5	0.65892	2.142168	2.192982
Au	3	Cl	-1	4	2.14532	5.5	0.69387	2.123675	2.375297
Hg	2	Cl	-1	6.966	2.17009	5.5	0.539918	2.602861	2.197802
La	3	Cl	-1	9.83	2.43099	6	0.612367	2.860323	2.178649
Pr	3	Cl	-1	9.067	2.48619	5.5	0.449895	2.767658	2.583979
Ti	3	Cl	-1	6	2.13089	6	0.925547	2.317792	2.178649
Fe	2	Cl	-1	5.743	2.00003	5	0.686296	2.334636	2.277904
Rh	3	Cl	-1	6	2.03722	5	0.797203	2.211713	2.272727
Pd	4	Cl	-1	5.333	2.12662	6	1.088684	2.133809	2.12766
W	5	Cl	-1	6	2.24489	6	0.871662	2.172085	2.380952
Hg	1	Cl	-1	4.786	2.17341	5.5	0.365096	2.721804	2.197802
Ti	2	Cl	-1	6	2.03427	5.5	0.644954	2.372399	2.331002
V	3	Cl	-1	6	2.06334	5.5	1.031449	2.274479	2.083333
Cr	3	Cl	-1	6	2.0051	5.5	1.092685	2.228283	2.04499
Co	2	Cl	-1	5.506	1.93137	5.5	0.795676	2.288535	2.136752
Cu	1	Cl	-1	2.56	1.79822	5	0.462969	2.052044	2.487562
Zr	2	Cl	-1	6.765	2.12072	6	0.670128	2.53539	2.09205
Mo	4	Cl	-1	6	2.1283	6.5	1.489813	2.197852	1.792115
Ir	3	Cl	-1	6	2.05823	5.5	0.612349	2.194093	2.487562
Pt	4	Cl	-1	6	2.1411	6	0.851686	2.182212	2.272727
V	2	Cl	-1	6	2.03267	5.5	0.679979	2.388641	2.262443
Cr	2	Cl	-1	5.6	2.01499	5.5	0.685419	2.337625	2.277904
Mn	4	Cl	-1	5.923	2.06541	6.5	1.457267	2.156547	1.934236
Mo	3	Cl	-1	5.7	2.08941	6	0.996785	2.293329	1.996008
Tc	4	Cl	-1	6	2.15861	6	1.046765	2.219262	2.12766
Ru	3	Cl	-1	6	1.9952	5.5	0.981474	2.218867	2.04499
W	3	Cl	-1	6	2.12237	5	0.672476	2.264711	2.336449
Re	4	Cl	-1	6	2.18513	5.5	0.739216	2.204421	2.427184
Mo	2	Cl	-1	5.5	2.05175	5.5	0.616601	2.345416	2.267574
Os	4	Cl	-1	6	2.15572	6	0.779449	2.182969	2.375297
Mn	2	Cl	-1	5.91	1.99681	6	0.821608	2.409777	2.04918
Re	3	Cl	-1	6	2.15781	5.5	0.639211	2.294331	2.380952
Eu	3	Cl	-1	7.743	2.31998	6	0.739494	2.644542	2.061856
Gd	3	Cl	-1	8.052	2.27126	6	0.881597	2.679082	1.876173
Tb	3	Cl	-1	7.958	2.29526	6	0.745002	2.635827	2.057613
Dy	3	Cl	-1	7.828	2.2881	6	0.768339	2.629921	2.028398
Er	3	Cl	-1	7.135	2.25982	6	0.830373	2.573621	1.972387
Yb	2	Cl	-1	8	2.29464	5.5	0.419744	2.705315	2.444988
Eu	2	Cl	-1	10.111	2.41447	5.5	0.416527	2.943683	2.352941
Li	1	Br	-1	5.263	1.51288	7	0.44910 	2.58255 	1.481481
A	1	Br	-1	5.263	1.51288	7	0.44910 	2.58255 	1.481481
#Be	2	Br	-1	4	1.6581	7	2.215989	1.122546	-1.430615
#B	3	Br	-1	3.417	1.821	6.5	2.291796	1.675041	-1.410437
Na	1	Br	-1	6.52	1.78228	7	0.292879	2.915883	1.560062
Mg	2	Br	-1	5.897	1.89059	7	0.733669	2.551036	1.490313
Al	3	Br	-1	5.327	2.04045	7	1.242373	2.36878	1.455604
K	1	Br	-1	8.846	2.17206	7	0.188913	3.373219	1.680672
#Ca	2	Br	-1	7.544	2.1686	7	1.165036	1.242057	-1.577287
Ga	3	Br	-1	4.905	2.11352	6.5	0.887656	2.330935	1.615509
Rb	1	Br	-1	10.02	2.34362	7	0.14833	3.55125	1.748252
#Sr	2	Br	-1	9.4	2.3125	7	0.95906	1.265723	-1.628664
In	3	Br	-1	6.024	2.28936	6.5	0.645222	2.596929	1.697793
Cs	1	Br	-1	11.79	2.50818	7	0.115797	3.714691	1.848429
#Ba	2	Br	-1	10.32	2.486	7	0.74336	1.399882	-1.680672
Tl	3	Br	-1	5.22	2.35992	6	0.532392	2.550956	1.801802
Se	4	Br	-1	3	2.32723	7	1.200099	2.05318	1.709402
In	1	Br	-1	6.024	2.46665	6	0.106082	3.128138	2.202643
Sb	3	Br	-1	6	2.38165	7	0.529405	2.630872	1.862197
Te	4	Br	-1	3.396	2.46108	7	0.894624	2.249368	1.788909
Tl	1	Br	-1	8.03	2.42772	6	0.102033	3.27736	2.096436
Pb	2	Br	-1	7.541	2.4316	6	0.261373	2.982711	1.941748
Bi	3	Br	-1	6.058	2.46708	7	0.480534	2.725316	1.834862
#Cr	6	Br	-1	4	2.224	6.5	2.339341	2.421694	-1.48368
Fe	3	Br	-1	5.733	2.13627	6.5	1.22157	2.411656	1.730104
Ni	2	Br	-1	5.933	1.96729	6	0.791638	2.421615	1.937984
Zn	2	Br	-1	4.718	1.98741	6	0.958104	2.373518	1.779359
Y	3	Br	-1	7.285	2.40922	6.5	0.7734	2.778819	1.915709
Zr	4	Br	-1	6.765	2.32815	7	1.481279	2.581699	1.54321
#Mo	6	Br	-1	4.764	2.3037	6.5	2.064478	2.374953	-1.508296
Pd	2	Br	-1	4	2.10183	5.5	0.599388	2.293259	2.164502
Ag	1	Br	-1	4.438	2.03699	5.5	0.384726	2.614612	2.12766
Cd	2	Br	-1	6.176	2.16913	6	0.733475	2.684989	1.808318
Au	3	Br	-1	4	2.27911	5.5	0.673499	2.271943	2.169197
Hg	2	Br	-1	6.966	2.25138	6	0.525569	2.740738	2.020202
Fe	2	Br	-1	5.743	2.09517	5.5	0.666987	2.476774	2.087683
Ti	2	Br	-1	6	2.15487	6	0.625835	2.541373	2.12766
Cr	3	Br	-1	6	2.13165	6.5	1.037691	2.387051	1.886792
Cu	1	Br	-1	2.56	1.8681	5.5	0.459534	2.164436	2.262443
W	4	Br	-1	6	2.3517	6.5	0.67355	2.378816	2.277904
V	2	Br	-1	6	2.10218	6	0.669272	2.509714	2.070393
Cr	2	Br	-1	5.6	2.12678	6	0.66474	2.495533	2.083333
Mo	3	Br	-1	5.7	2.19147	6	0.951252	2.426733	1.848429
Mo	2	Br	-1	5.5	2.22218	5.5	0.418518	2.474296	2.493766
W	2	Br	-1	6	1.95717	7	0.966423	2.546409	1.545595
Os	4	Br	-1	6	2.30615	6	0.751339	2.351622	2.169197
Mn	2	Br	-1	5.91	2.08701	6	0.787476	2.54896	1.893939
Re	3	Br	-1	6	2.30419	5.5	0.524717	2.443614	2.369668
Eu	2	Br	-1	10.111	2.50011	6	0.409845	3.10151	2.150538
Li	1	I	-1	5.000	1.64829	7	0.44117	        2.78807 	1.360544
A	1	I	-1	5.000	1.64829	7	0.44117	        2.78807 	1.360544
#Be	2	I	-1	4	1.8008	7	2.134019	1.232513	-1.315789
#B	3	I	-1	3.417	2.007	7	2.173632	1.863156	-1.298701
Na	1	I	-1	6.52	1.94353	7	0.285612	3.198502	1.426534
#Mg	2	I	-1	5.897	2.045	7	1.655681	1.199982	-1.367989
Al	3	I	-1	5.327	2.24648	7	1.187824	2.619974	1.338688
P	5	I	-1	4	2.49792	7.5	2.382629	2.27117	1.310616
K	1	I	-1	8.846	2.2888	7	0.190106	3.633321	1.526718
#Ca	2	I	-1	7.544	2.3242	7	1.170657	1.328579	-1.438849
#Ga	3	I	-1	4.905	2.314	7	1.170186	1.902933	-1.472754
Rb	1	I	-1	10.02	2.46445	7	0.150421	3.823732	1.582278
#Sr	2	I	-1	9.4	2.3242	7	1.189417	1.169575	-1.438849
In	3	I	-1	6.024	2.47773	7	0.674268	2.850379	1.49925
Cs	1	I	-1	11.79	2.71194	8	0.116459	4.07706	1.663894
#Ba	2	I	-1	10.32	2.6495	7.5	0.763038	1.478218	-1.526718
Ga	1	I	-1	4.905	2.38769	7	0.150745	3.125864	1.848429
In	1	I	-1	6.024	2.50769	7	0.115503	3.293778	1.945525
Sb	3	I	-1	6	2.59905	7.5	0.531155	2.898754	1.675042
Te	4	I	-1	3.396	2.67663	7.5	0.895233	2.465289	1.615509
Tl	1	I	-1	8.03	2.48689	7	0.109014	3.477263	1.862197
Pb	2	I	-1	7.541	2.5688	7	0.270625	3.211959	1.73913
Bi	3	I	-1	6.058	2.63989	7.5	0.488978	2.951989	1.652893
#Cr	6	I	-1	4	2.5373	7	2.176374	2.768722	-1.360544
Fe	3	I	-1	5.733	2.37658	6	0.822293	2.623615	1.912046
Zn	2	I	-1	4.718	2.15151	6.5	0.959066	2.597824	1.607717
#Mo	6	I	-1	4.764	2.6191	7	1.922048	2.713286	-1.383126
Ag	1	I	-1	4.438	2.08036	6	0.414392	2.760885	1.886792
Cd	2	I	-1	6.176	2.3244	7	0.741701	2.918199	1.631321
Hf	4	I	-1	7.105	2.57677	7	0.895483	2.832144	1.712329
Hg	2	I	-1	6.966	2.38163	6	0.547753	2.956874	1.801802
Fe	2	I	-1	5.743	2.25785	6	0.692512	2.711676	1.851852
Zr	3	I	-1	6.765	2.56625	6	0.562056	2.796227	2.118644
Co	2	I	-1	5.506	2.19837	6	0.780849	2.670145	1.757469
Cu	1	I	-1	2.56	1.93067	6	0.501948	2.295302	1.988072
Zr	2	I	-1	6.765	2.49296	5.5	0.36402	2.844654	2.358491
Cr	2	I	-1	5.6	2.28404	6.5	0.689638	2.722975	1.851852
Mo	2	I	-1	5.5	2.35705	6	0.456968	2.678791	2.169197
Mn	2	I	-1	5.91	2.26045	6.5	0.796403	2.795756	1.70068
Eu	2	I	-1	10.111	2.66292	6.5	0.429764	3.372258	1.904762
Li	1	N	-3	5.021	1.1543	6	2.054953	2.132557	1.569859
A	1	N	-3	5.021	1.1543	6	2.054953	2.132557	1.569859
Mg	2	N	-3	5.897	1.63729	6	2.874771	2.215919	1.663894
Sr	2	N	-3	9.4	2.09477	6.5	1.428465	2.830165	1.838235
Cr	6	N	-3	4	1.96859	6.5	6.823816	1.638522	1.652893
Nb	5	N	-3	6.044	2.0288	5	2.833875	2.027799	2.083333
Eu	3	N	-3	7.743	2.1627	6	1.484427	2.459643	2.197802
Gd	3	N	-3	8.052	2.09519	6.5	1.809718	2.475474	1.984127
Eu	2	N	-3	10.111	2.1874	6	0.974842	2.731273	2.325581
